truth_k,strategy,coin,mcc,fpt,missed,delay,giveback,n_seg
2.0,"ST(48,4) 4h projected",SOL,0.49791315195999186,1.5714285714285714,0.4425533991845536,63.0,0.41988376024353763,49
2.0,META,XRP,0.21537852504437982,6.018867924528302,0.21560113746568116,18.0,0.21389001126031776,53
2.0,META ablation: no 4h flow/deriv/cross,XRP,0.20240796673141626,6.39622641509434,0.21560113746568116,15.0,0.21958495281323734,53
2.0,"primary unfiltered ST(48, 4)",XRP,0.2084740829989243,6.811320754716981,0.22659966874264734,15.0,0.21389001126031776,53
2.0,"BEST plain ST(48,4.0)",XRP,0.2084740829989243,6.811320754716981,0.22659966874264734,15.0,0.21389001126031776,53
2.0,"ST(10,3) 1h",XRP,0.24357272387405068,9.49056603773585,0.21560113746568116,17.0,0.20308686443773732,53
2.0,"ST(48,4) 4h projected",XRP,0.3294446362350922,1.6226415094339623,0.4648814772006107,79.0,0.45204931381803076,53
2.0,META,ADA,0.2956886001273379,6.333333333333333,0.20652800312259423,14.0,0.20127043204160583,51
2.0,META ablation: no 4h flow/deriv/cross,ADA,0.3102849092445023,6.607843137254902,0.20652800312259423,16.0,0.20425956044913443,51
2.0,"primary unfiltered ST(48, 4)",ADA,0.2991329095484031,6.7254901960784315,0.20652800312259423,16.0,0.20425956044913443,51
2.0,"BEST plain ST(48,4.0)",ADA,0.2991329095484031,6.7254901960784315,0.20652800312259423,16.0,0.20425956044913443,51
2.0,"ST(10,3) 1h",ADA,0.2947216585415317,10.529411764705882,0.18688011994287373,13.0,0.17551774901834472,51
2.0,"ST(48,4) 4h projected",ADA,0.2954364361777466,1.9215686274509804,0.4436258326477423,63.0,0.43244017651776445,51
2.0,META,DOGE,0.284042993331801,7.177777777777778,0.18830510386390928,14.0,0.20697950007698468,45
2.0,META ablation: no 4h flow/deriv/cross,DOGE,0.25389777181125034,7.933333333333334,0.1771872080941793,14.0,0.19341569768908212,45
2.0,"primary unfiltered ST(48, 4)",DOGE,0.2546043394361987,8.066666666666666,0.1821587575452497,14.0,0.18754649005032525,45
2.0,"BEST plain ST(48,4.0)",DOGE,0.2546043394361987,8.066666666666666,0.1821587575452497,14.0,0.18754649005032525,45
2.0,"ST(10,3) 1h",DOGE,0.280906885386886,11.577777777777778,0.1810837722874865,13.0,0.1852262592875633,45
2.0,"ST(48,4) 4h projected",DOGE,0.28857954513854167,2.1555555555555554,0.3872415016956462,56.0,0.3800487786997894,45
2.0,META,LINK,0.27536775427190835,7.127659574468085,0.2321030806369475,17.0,0.2032608217647913,47
2.0,META ablation: no 4h flow/deriv/cross,LINK,0.2741023484304387,7.595744680851064,0.2321030806369475,17.0,0.2032608217647913,47
2.0,"primary unfiltered ST(48, 4)",LINK,0.2596012573675095,7.76595744680851,0.2321030806369475,16.0,0.2032608217647913,47
2.0,"BEST plain ST(48,4.0)",LINK,0.2596012573675095,7.76595744680851,0.2321030806369475,16.0,0.2032608217647913,47
2.0,"ST(10,3) 1h",LINK,0.2560634690122161,11.51063829787234,0.19799772426796355,15.0,0.19395938457710574,47
2.0,"ST(48,4) 4h projected",LINK,0.39743507080777735,1.851063829787234,0.4429884624280883,68.0,0.4203890008681566,47
2.0,META,AVAX,0.28278457865941053,6.470588235294118,0.18861928274453876,14.0,0.20366964775964153,51
2.0,META ablation: no 4h flow/deriv/cross,AVAX,0.3249887732666656,7.0,0.1989104274659894,16.0,0.20366964775964153,51
2.0,"primary unfiltered ST(48, 4)",AVAX,0.3047297416290317,7.117647058823529,0.1989104274659894,16.0,0.20366964775964153,51
2.0,"BEST plain ST(48,4.0)",AVAX,0.3047297416290317,7.117647058823529,0.1989104274659894,16.0,0.20366964775964153,51
2.0,"ST(10,3) 1h",AVAX,0.28151603361336847,11.235294117647058,0.186495499326711,12.0,0.1940738625232823,51
2.0,"ST(48,4) 4h projected",AVAX,0.41079145164994124,1.8235294117647058,0.4527197831687123,65.0,0.42944601261158577,51
2.0,META,TRX,0.32293260903348314,7.275862068965517,0.18496475352007197,9.0,0.1630843405511078,58
2.0,META ablation: no 4h flow/deriv/cross,TRX,0.34535159662325715,7.275862068965517,0.18496475352007197,9.0,0.1630843405511078,58
2.0,"primary unfiltered ST(48, 4)",TRX,0.3247733581510646,7.482758620689655,0.18496475352007197,9.0,0.1630843405511078,58
