coin,net,acc,p
SOL,0.06380419580419572,True,0.6011930652935165
BTC,0.06348028813381235,True,0.6206601198593156
XRP,0.06318074545795072,True,0.5525633591386248
BTC,0.06310828907643184,True,0.5713887931757784
AVAX,0.06302302898943402,True,0.5611088390077597
XRP,0.06263851612449955,True,0.5734925145574515
DOGE,0.06263326071169217,True,0.5335071568388168
LINK,0.06262984723854292,False,0.09118547736010864
LINK,0.06193054459352809,True,0.8905651702863013
LINK,0.0612726714274745,True,0.8187297593035945
ETH,0.06106708413829853,True,0.31353863803445103
BTC,0.060779916207418516,True,0.7912279820514881
ETH,0.0604362828388445,True,0.4574151241709546
AVAX,0.060413951353831985,True,0.38060327799217536
SOL,0.06009325472781546,True,0.3375155578790171
ADA,0.06007858637526153,True,0.4776969126511259
BNB,0.05983692027887244,True,0.7757449024518237
BNB,0.05954742484269393,True,0.481397470258382
BTC,0.05904224906483746,True,0.7038438565885733
DOGE,0.05897560975609761,False,0.2639266590061064
TRX,0.05857596822244293,True,0.6038937750134543
XRP,0.057452601051296126,True,0.5452769238737093
BNB,0.05741947988632168,True,0.4602011451701387
LINK,0.05734560085202056,True,0.5687330825670822
SOL,0.05716334661354572,False,0.22192386125096372
TRX,0.056448857249906226,True,0.4753158631264305
LINK,0.056344357028476066,True,0.6182898912564551
AVAX,0.056316221765913665,True,0.6205830954826567
DOGE,0.05619467888433394,True,0.6888415882313197
LINK,0.055939914163090076,True,0.7687158310130738
DOGE,0.05579665594539529,True,0.5618036837771083
DOGE,0.05484118387220294,True,0.49925164831519847
TRX,0.05455375552282771,True,0.5967519752829626
BNB,0.054517973148549226,True,0.47600973270494673
BTC,0.05443935973260028,True,0.4548074685687241
AVAX,0.054115107913669025,True,0.5575653299552552
TRX,0.05403917301414585,True,0.44901820924934394
XRP,0.05371847507331373,True,0.6180141643356306
SOL,0.05360975609756102,True,0.6459755001661309
XRP,0.05355555555555558,True,0.8953437712074609
ADA,0.05348549810844894,True,0.6661649442317634
XRP,0.053120155877895536,True,0.4874201450079322
BTC,0.05288393091804,True,0.650141142297023
AVAX,0.05228881650380024,False,0.2905872994838435
AVAX,0.05183123181377303,True,0.814549831324405
XRP,0.051352889948205416,True,0.5864028987973867
ADA,0.05070972531551621,True,0.8188565576499534
SOL,0.05057591781235837,True,0.8014232218520133
DOGE,0.05053957463338832,True,0.44277059203090474
LINK,0.05043582263710622,True,0.79242024597318
AVAX,0.050078504095193876,True,0.8010692939226824
SOL,0.04971760887205834,True,0.6140930591433184
BNB,0.049573171813424244,True,0.4858215595627101
XRP,0.049533693579148164,True,0.8236330447248735
LINK,0.04939500734214408,True,0.7901577712248905
LINK,0.04933689839572186,True,0.5871170543355888
SOL,0.049221566975568676,True,0.6121693515439292
BNB,0.04919030805203772,True,0.8529220494598464
ADA,0.048140393100681855,True,0.7352578695536329
ADA,0.047795671257756966,False,0.2708500385628423
SOL,0.04776518709286459,True,0.4527890104145657
BNB,0.04762086417751843,True,0.8191462141371679
XRP,0.04754625607500751,False,0.12314601936362148
BTC,0.04744727880294408,True,0.3408449718185481
DOGE,0.047384016005054264,True,0.8215158608014882
TRX,0.0471341119613371,True,0.7495880502089769
TRX,0.04712891986062728,True,0.574736058469437
BNB,0.046864607004141856,True,0.5949621744739988
DOGE,0.0464642999601117,True,0.8792527627881649
SOL,0.04623813165480306,True,0.39537967596214274
AVAX,0.045989623865110296,True,0.41752189704694476
XRP,0.04581748834581156,True,0.3841819356500746
XRP,0.04572570640937279,True,0.44736515317456815
ETH,0.04559963799404487,True,0.3650942617599199
ETH,0.04539603507165735,True,0.46172189257461616
ADA,0.045384219554030825,True,0.4668808161126735
XRP,0.04528304357314328,True,0.7196688330396822
AVAX,0.045187697493153545,True,0.6945977743248479
BTC,0.044738300745698956,True,0.6577478786409665
DOGE,0.044574770258980934,True,0.34482625822828233
ETH,0.04435435957036482,True,0.5102776471437207
BTC,0.0439535761721872,True,0.5206219543496982
AVAX,0.043636910732196554,True,0.5215209664299997
ADA,0.043597484276729714,True,0.6401601976469129
ETH,0.04359326171875,True,0.3434778518238326
ADA,0.043290322580645135,True,0.46483956097724877
XRP,0.0432488687782806,True,0.44247453948494275
ADA,0.04252255418863493,True,0.662501243201283
ADA,0.04232815145451729,True,0.7961556237763336
SOL,0.04225460851692464,True,0.503372825851237
AVAX,0.04170700121408322,False,0.2697459116367963
XRP,0.04156601358668888,True,0.5107858879837034
ETH,0.041500081606006045,False,0.2423302619018538
SOL,0.041421482206986715,True,0.5671381318384195
BNB,0.04135432548889617,True,0.7658316925995556
DOGE,0.0410584294019114,True,0.46463132170114435
BTC,0.04094182119030565,False,0.2820250288101526
ETH,0.04073324650722232,True,0.6510856735114284
XRP,0.04051700680272097,True,0.5666521948642869
SOL,0.04035785080855514,True,0.4666171816446377
BTC,0.04002289145277893,True,0.31059539100610056
BNB,0.040006927012170124,True,0.36395647533845876
BTC,0.03970750877888163,True,0.42197586677334925
ETH,0.03964176807185282,True,0.3260013437519461
DOGE,0.039411895497498683,True,0.815865929659361
ETH,0.039058481171415194,True,0.45551179192386554
LINK,0.03901838755304099,True,0.3720710998123582
