,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
vol_ratio,121.35588905215263,119.20138257741928,131.17779117822647,131.95509260892868,124.78269881010056,127.83210867643356,127.21215838193893,120.99472033977509,99.58681178092957,100.51228898763657,112.26260960102081,99.88339841365814,110.02823448181152,119.95659375190735,96.61620879173279,97.98583632707596
max_30,181.2233847975731,154.66750770807266,174.03601080179214,174.65888142585754,173.0218693614006,200.95597422122955,168.00425517559052,176.25681430101395,202.36623948812485,186.59494096040726,204.51657915115356,207.78595584630966,219.55212503671646,213.77632147073746,225.11290150880814,201.63596099615097
min_30,172.62605094909668,179.17105358839035,161.35743468999863,153.00981444120407,167.2286760210991,184.2024009823799,175.58957642316818,189.20022058486938,171.406114757061,174.9804244041443,187.28827452659607,194.32131910324097,174.93154323101044,185.9780074954033,187.93140840530396,173.3918024301529
skew_30,83.34608489274979,75.74496299028397,95.44476598501205,84.90953326225281,91.17400801181793,104.42947244644165,85.62993329763412,76.58981508016586,84.98063772916794,95.95282769203186,75.32924044132233,81.04006546735764,83.64113563299179,86.63059586286545,85.744395673275,94.23236280679703
ema_d_10,79.25239568948746,90.08255398273468,98.85604894161224,92.65509974956512,108.4487926363945,94.14924424886703,82.78958904743195,112.85817438364029,107.70153617858887,110.4528959095478,85.04520148038864,107.3525338768959,87.36199176311493,92.62411999702454,104.29101800918579,121.69764798879623
ema_d_30,154.14915215969086,165.4917575120926,158.95300424098969,154.75412440299988,132.52451956272125,125.74479669332504,148.5858410000801,149.7268963456154,154.0739821791649,154.34357556700706,139.1361837387085,150.43395453691483,143.90282171964645,129.04637801647186,155.91463762521744,144.18273383378983
ema_d_100,141.53113394975662,155.72705513238907,159.194018304348,179.29631912708282,171.72918540239334,145.40701740980148,157.5362240076065,156.81731140613556,145.88744854927063,137.2075759768486,156.5477059483528,127.03162896633148,106.04839724302292,112.54624301195145,114.5213680267334,122.44777518510818
dd_90,141.240808904171,134.26125210523605,134.97349786758423,139.83924889564514,153.0700462460518,167.02032828330994,146.8718626499176,123.45180583000183,125.61270606517792,146.2141508460045,166.3409760594368,180.26002418994904,209.50058668851852,193.56122410297394,174.65908461809158,187.79468536376953
ru_90,131.32822906970978,122.84707397222519,135.43118798732758,118.23274272680283,180.02403807640076,156.81964403390884,141.45952051877975,163.48806196451187,165.1468797326088,150.66715717315674,175.93273335695267,157.1971407532692,143.216814994812,146.0887810587883,163.049096763134,161.46392768621445
don_20,78.51037299633026,66.84437096118927,63.32231205701828,79.65208286046982,76.36753988265991,74.00568979978561,85.87535792589188,77.48643273115158,78.07509303092957,82.49422407150269,74.97184610366821,68.23086911439896,82.89259725809097,71.94066661596298,67.0381532907486,61.49462604522705
don_60,106.30208414793015,101.18906426429749,110.87606781721115,109.67515009641647,119.35179769992828,109.16224026679993,131.69699305295944,106.1973032951355,114.7662398815155,91.25188845396042,86.75451177358627,87.90422624349594,92.6854305267334,109.07491308450699,86.17335432767868,77.79316091537476
er_14,106.31694054603577,95.16680353879929,112.21948340535164,107.41747182607651,113.82240772247314,85.1443299651146,74.95662206411362,101.29402208328247,93.26514917612076,97.06034362316132,90.45982027053833,93.09899455308914,94.2983193397522,95.20502442121506,86.25213122367859,84.3376572728157
er_60,69.40691709518433,88.1466715335846,91.1365727186203,87.94088912010193,78.43606638908386,104.8549063205719,109.51799803972244,86.15682655572891,92.1508618593216,83.01984518766403,73.43017989397049,88.05300921201706,81.03315484523773,60.46139293909073,62.06430011987686,84.28331750631332
chop_14,119.9771180152893,107.6441000699997,104.85813903808594,120.71043276786804,122.78655517101288,118.60358303785324,127.80729401111603,116.46543002128601,118.71224296092987,110.74144345521927,93.01870387792587,113.65877026319504,116.88120317459106,105.06839680671692,87.70192521810532,69.35331702232361
r2_30,117.54868549108505,128.30461704730988,131.38479351997375,142.07110846042633,149.2574896812439,127.156265437603,140.78523427248,132.69697338342667,130.58064395189285,140.02385008335114,122.19695174694061,131.68651854991913,121.8169949054718,116.52853947877884,119.85338711738586,122.8308093547821
r2_90,81.81511217355728,62.08620297908783,85.97221547365189,72.6865661740303,77.941934466362,82.54400032758713,88.18616962432861,87.1886396408081,98.06040239334106,83.55180966854095,87.1270437836647,89.74550700187683,97.68164998292923,84.53323447704315,108.04117012023926,96.2450161576271
rsi_14,119.41402012109756,103.30006736516953,101.16939979791641,99.72614616155624,107.23082709312439,124.5424867272377,120.18599671125412,118.82111066579819,117.94899260997772,121.76249051094055,112.68099969625473,93.69582122564316,91.26117694377899,89.74620991945267,85.65420717000961,89.03224694728851
