n,acc,bal_acc,mcc,capture,flips_per_oracle_flip,flip_precision,entry_lag_frac,missed_move_frac,exit_giveback_frac,ls_sharpe,lf_sharpe,bh_sharpe,tf,asset,clf,period
2922,0.6632443531827515,0.6639330556689598,0.3253016104458131,0.15771367187696128,1.7058823529411764,0.7241379310344828,0.27205882352941174,0.3818892968343395,0.40274083639741726,0.46712032629624634,0.5539906857501204,0.35692240345515286,1D,ETHUSDT,EMA cross (stock calm-tuned),all history
2922,0.6954140999315537,0.700226803170957,0.3972319350472611,0.16696174940975878,2.411764705882353,0.6829268292682927,0.12704918032786885,0.3403493388296604,0.3263616529988995,0.4912507191984466,0.6290930522130577,0.35692240345515286,1D,ETHUSDT,SuperTrend (stock calm-tuned),all history
2922,0.6697467488021903,0.6627980870598335,0.32657909708971633,0.08169714798759768,1.6470588235294117,0.7857142857142857,0.23778501628664495,0.3618434485269454,0.4078465842290424,0.2379329250309827,0.4076088398753426,0.35692240345515286,1D,ETHUSDT,Online directional-change (stock calm-tuned),all history
2820,0.7095744680851064,0.6859897999603882,0.3934402086982954,0.18442941363788395,6.875,0.5727272727272728,0.1567020419600014,0.23273800553053337,0.23682277076339067,0.5020773072406853,0.6319851129830053,0.4653605040617933,1D,ETHUSDT,"STOCK model (accurate, unchanged)",2019-2026
2820,0.6918439716312057,0.6689536294315706,0.3553778415931809,0.07891275858168836,2.75,0.6363636363636364,0.2334243984448881,0.34131680070375015,0.3243966485096984,0.21569322461017718,0.408766384805501,0.4653605040617933,1D,ETHUSDT,"STOCK model (calm, unchanged)",2019-2026
2820,0.6351063829787233,0.632414834620717,0.26228287613647633,0.14113217799591873,3.5625,0.6140350877192983,0.34362668453577544,0.38529236403923206,0.34815131341096067,0.3927586255374844,0.5647363226920784,0.4653605040617933,1D,ETHUSDT,EMA200,2019-2026
2820,0.7092198581560284,0.7076679788076847,0.41164918380720045,0.2206992066594847,4.75,0.5921052631578947,0.14593570843570844,0.277300715572401,0.2850666463578049,0.6184211651140609,0.7497568453021652,0.4653605040617933,1D,ETHUSDT,EMA cross (stock-tuned),2019-2026
2820,0.7156028368794326,0.7150147306397306,0.42587104293341443,0.18104821686365496,12.0,0.5416666666666666,0.08855799373040753,0.2158966663303034,0.2641871333249679,0.46617289760746844,0.6616091637489594,0.4653605040617933,1D,ETHUSDT,Price vs EMA (stock-tuned),2019-2026
2820,0.701418439716312,0.7095154981184393,0.4140863129137259,0.1860687027595449,3.5,0.625,0.09920047379330768,0.26983181473842494,0.28912751757626604,0.5238195672000614,0.7506328009574131,0.4653605040617933,1D,ETHUSDT,SuperTrend (stock-tuned),2019-2026
2820,0.6900709219858157,0.6906658496732025,0.3770952194878779,0.2540841743675169,3.0,0.6458333333333334,0.11322583250329771,0.23840620697443435,0.2522676549760568,0.7245945916789148,0.8459152319253413,0.4653605040617933,1D,ETHUSDT,Online directional-change (stock-tuned),2019-2026
2820,0.6570921985815603,0.6555320360467419,0.30791380558532,0.1400044500603745,1.8125,0.7241379310344828,0.3064204732172198,0.379239635221977,0.4143912107270915,0.3983440656979253,0.5639292469374702,0.4653605040617933,1D,ETHUSDT,EMA cross (stock calm-tuned),2019-2026
2820,0.6872340425531915,0.6915354525648643,0.378299130544308,0.14189045887779853,2.5,0.675,0.1355966622360065,0.3506379631303027,0.33303773983511065,0.4002003135070098,0.6316482449219123,0.4653605040617933,1D,ETHUSDT,SuperTrend (stock calm-tuned),2019-2026
2820,0.6879432624113475,0.6831024707862943,0.36423208554675646,0.1200981449114133,1.75,0.7857142857142857,0.2291866257903813,0.3613850179789452,0.41601081830788345,0.3405885416221279,0.5675199661087046,0.4653605040617933,1D,ETHUSDT,Online directional-change (stock calm-tuned),2019-2026
2841,0.7465681098204857,0.7091553003110792,0.43978084746155016,0.27195081511872826,6.294117647058823,0.5794392523364486,0.09811320754716982,0.31473696445008353,0.3382479577084371,0.7376284359055792,0.9307952213424632,0.78658587079617,1D,BNBUSDT,"STOCK model (accurate, unchanged)",all history
2841,0.7321365716297078,0.6939658610512882,0.40743990879344266,0.24005284208715974,2.176470588235294,0.6756756756756757,0.20670391061452514,0.2912904775961928,0.28309846007761386,0.6688748503050862,0.8696442105802171,0.78658587079617,1D,BNBUSDT,"STOCK model (calm, unchanged)",all history
2841,0.639563533966913,0.629408949509452,0.2525420084584265,0.08665624851227921,6.764705882352941,0.5652173913043478,0.2702702702702703,0.3146642489683855,0.3590402468291961,0.20971677429101163,0.6188956831363627,0.78658587079617,1D,BNBUSDT,EMA200,all history
2841,0.7138331573389651,0.7119566084390205,0.4124729264597543,0.295525218813448,5.0,0.6,0.12290502793296089,0.2649522889383702,0.24659223129526123,0.8112864387107209,1.0322931203893786,0.78658587079617,1D,BNBUSDT,EMA cross (stock-tuned),all history
2841,0.7043294614572334,0.7048129536571748,0.3975672910256567,0.2615657807250683,11.941176470588236,0.541871921182266,0.10614525139664804,0.23169569695266914,0.2234116496877485,0.678118210533023,0.983599383134576,0.78658587079617,1D,BNBUSDT,Price vs EMA (stock-tuned),all history
2841,0.6589229144667371,0.67943846215203,0.34716019529773423,0.16440643276477518,3.9411764705882355,0.6268656716417911,0.10264900662251655,0.19546258442263081,0.22426386306594223,0.4450987575676277,0.879454775274304,0.78658587079617,1D,BNBUSDT,SuperTrend (stock-tuned),all history
2841,0.7110172474480817,0.7071620004785835,0.403825567184337,0.2720539668035716,2.3529411764705883,0.7,0.2830188679245283,0.2823811616265,0.28186756192797413,0.7587428334629793,1.0163353543627187,0.78658587079617,1D,BNBUSDT,Online directional-change (stock-tuned),all history
