,y_ret,y_ret,y_ret,y_orc,y_orc,y_orc
,2019-21,2022-23,2024-26,2019-21,2022-23,2024-26
h1_bb_bwroc_20,0.03403742092674056,0.026484961351327496,-0.014945126195448022,0.04288651241827579,0.004080872434217175,-0.01951162203900403
h1_bb_bwroc_50,-0.005002914024145877,-0.02148521517945645,0.00902867168206567,-0.008344628446332103,-0.023674010380699884,0.009490934047028832
h1_bb_bwz_100,-0.028013501518767248,0.023763656621307083,-0.025734908511875876,-0.015710220726538104,0.015267227531378547,-0.01209630672536427
h1_bb_bwz_20,-0.007548637896074628,0.024837416403709622,0.006196782898061581,-0.01081738526863324,0.002077253792519662,0.004165496496308374
h1_bb_bwz_50,-0.019326384133505792,0.03376648880885136,0.004697884188144208,-0.01552051812921379,0.019323967437174905,-0.0022417674253090714
h1_bb_pctb_100,0.023986061251168644,-0.014726039292594362,0.006361420203349288,0.05481013100214904,0.01936790101455632,0.04015621696787319
h1_bb_pctb_20,0.025551590369150112,0.00939164077174437,-0.00952306034688255,0.03997306102323672,0.014204777498088017,-0.005748403763639831
h1_bb_pctb_50,0.011162837288176686,-0.02061218000956533,-0.004826288572963189,0.03965933727577742,-0.0032343775911528594,0.015053195479515669
h1_bb_since_sq_100,-0.008213667608209407,-0.0162807365825115,-0.016217886985071428,0.006967746417530396,-0.0033841230239171627,-0.0005229344090841304
h1_bb_since_sq_20,0.008136754748442776,0.0005327050864484262,-0.00011886940574834526,-0.0014077890252767178,0.019532497234040935,-0.012909691366405573
h1_bb_since_sq_50,0.009145552765730924,0.007746433714788004,-0.017523225619853144,0.02208959908719088,0.006232689551729065,-0.020319427059794337
h1_bocpd_erl,0.054122939440912066,-0.009841851716278938,0.027300075326334716,0.027275449450269273,-0.01128412277640406,0.006849293837061454
h1_bocpd_p20,-0.0035079589284485735,0.020770154621408632,-0.004239887360113936,-0.0013903305368009322,0.011584851207492752,-0.019736356743560002
h1_bocpd_p5,0.007702180661402602,0.01004357828193081,-0.004822633497652773,0.007729348988836149,-0.0006206391283578583,-0.01704372500407625
h1_chop_14,-0.03093292280669091,-0.02481002968453172,0.015770378634018867,-0.02751140356724535,-0.0017062935158990156,0.013286160743899655
h1_chop_50,0.0302026460958148,-0.01777798855903112,0.015399626864485705,0.04986144308691465,0.015629215457688916,0.0010303698730264044
h1_cusum_age_n_0.25,0.03317130819447878,-0.017296717067136147,-0.004327291334928818,0.05116210047836267,-0.004616738321712555,0.013697037779608734
h1_cusum_age_n_0.5,0.03558625511471947,-0.006147650486682088,0.0008999431079581566,0.04531509397428213,0.014306567265400916,0.005570165894509205
h1_cusum_age_n_1.0,0.028406423399613967,0.020024701484760876,0.0006661772044076475,0.03356420861729825,0.03410359413789943,-0.000164288818502889
h1_cusum_age_p_0.25,-0.04452563127071685,-0.024818045309656978,0.013530135301352941,-0.03996168655347221,-0.0194950608758499,0.01342503129237027
h1_cusum_age_p_0.5,-0.027510209202650238,-0.02233620738025327,0.021872447406644624,-0.036834765458433394,0.001430935178791004,0.01588626378088709
h1_cusum_age_p_1.0,0.003170013072636091,0.003205582081337255,0.03165438243529728,0.014938382116582494,0.031587932745737124,0.013393568433732406
h1_cusum_d_0.25,0.04135334161671689,0.033304254426628876,-0.02083980917328554,0.05151656069893207,0.0334300490818501,-0.018050536480487156
h1_cusum_d_0.5,0.0365846625195787,0.026749142996080333,-0.013737838928776891,0.03758997734628855,0.014992797368440614,-0.011603440269855159
h1_cusum_d_1.0,0.028436271910830868,0.02356026013375412,-0.009628104032978313,0.029242703674429937,0.01130113930285459,-0.0075591455245556105
h1_cusum_n_0.25,-0.023912198833580867,0.0012911836139246624,0.0031889737502025506,-0.025500238599342473,-0.012075545952046907,0.004380156886522268
h1_cusum_n_0.5,-0.011793197372521602,-0.001118847673731993,0.006287683031869107,-0.0119796973650379,-0.0028238152166111252,0.007174151727233347
h1_cusum_n_1.0,-0.004013359991257848,0.0005296992270265033,0.003918558565430663,-0.004686281542991777,-0.00024503798088698625,-0.0005533123415619734
h1_cusum_p_0.25,0.03246253252981823,0.039729445933272656,-0.01594963624054846,0.0442109768394634,0.025381541462158985,-0.008473428298469976
h1_cusum_p_0.5,0.03242307178617532,0.026194728924917587,-0.008747071966843767,0.03333830635732338,0.013083233709305642,-0.005810709523109858
h1_cusum_p_1.0,0.02725599095033615,0.023536547242758443,-0.00815034119333441,0.02702864990863385,0.010408854534068923,-0.008986753361566235
h1_dc_0.5,0.0033933709997935324,-0.0016558945571233386,-0.002613378846966774,0.0028494369372943362,-0.0004294352493323661,-0.0005122401369362928
h1_dc_1.0,0.006690619675329135,-0.0036931992764562827,-0.016327062495431144,0.033902268439602645,0.022007009571331948,0.009695830101803304
h1_dc_2.0,0.0214266778910559,0.001844595731946841,0.0032210748464073236,0.042746844510469284,0.026577648575933255,0.051198595423595505
h1_dc_4.0,0.016447288541004745,0.007215064565860407,-0.008103301963252152,0.005183583941999803,0.008800328697412763,-0.01394269606010623
h1_dc_age_0.5,-0.005630744573641877,-0.012307658395432186,-0.002357364658917893,0.002388109605448774,0.006592821129699389,0.00658209202281701
h1_dc_age_1.0,-0.012347418457914594,-0.013988601781071919,0.03792045284793932,-0.027393691031309952,-0.028178749019229232,0.03719684838249915
h1_dc_age_2.0,0.05713207409715848,0.0029106738736043303,0.01695605328146299,0.04950724738889778,-0.009783883926251014,-0.0017278224044071644
h1_dc_age_4.0,0.008515426115322522,0.01064374821318359,0.021368523762756997,-0.008025878770372252,-0.0013870016014098652,0.001756805431822328
h1_dc_ov_0.5,-0.0069165071373354925,0.011143722830370684,-0.01863738792426678,0.030321955689298186,0.038131870035815085,0.019446526469408476
h1_dc_ov_1.0,-0.006861110324144715,-0.0015122812736294011,0.015837123487513982,0.033926604514447734,0.04371174375462539,0.053747551941614846
h1_dc_ov_2.0,0.0240363989946617,0.014121527564398884,-0.008991008514736332,0.022735184356347915,0.015206586818936718,0.021505096363141463
h1_dc_ov_4.0,0.009875051096603915,0.0011585918149780161,-0.045640130819912916,0.018250998043591204,0.005395785841755041,-0.022609551193945754
