variant,trades,win_rate,sharpe,cagr,max_dd,total,in_mkt,group,asset,start,end
ORIGINAL,44,0.36363636363636365,0.07704120800825735,0.07511199686165071,-0.8430916372504036,0.7499196523129836,0.906128232376904,Crypto 1D,XRPUSDT,2019-01-01,2026-09-23
HYBRID,29,0.27586206896551724,-0.3951729181898985,-0.20879710331054036,-0.9102838636041788,-0.8362617242700884,0.5171803046404534,Crypto 1D,XRPUSDT,2019-01-01,2026-09-23
MODEL-FLIP,40,,-0.00725839968661693,-0.006993235245029927,-0.8912547153844952,-0.05277730072186282,1.0,Crypto 1D,XRPUSDT,2019-01-01,2026-09-23
BUY & HOLD,0,,0.19082359345802025,0.20257701366903058,-0.8323958401465106,3.1588137472283853,1.0,Crypto 1D,XRPUSDT,2019-01-01,2026-09-23
ORIGINAL,50,0.42,0.5736237762444274,0.7187462430209466,-0.9177898716337942,64.65935681089225,0.9075451647183846,Crypto 1D,ADAUSDT,2019-01-01,2026-09-23
HYBRID,30,0.26666666666666666,-0.4409246089695572,-0.2387584843252668,-0.9501996270304468,-0.8784885779370473,0.43216436415161175,Crypto 1D,ADAUSDT,2019-01-01,2026-09-23
MODEL-FLIP,48,,0.12982517142562866,0.13464552803939167,-0.9656279982392226,1.6537605919771723,1.0,Crypto 1D,ADAUSDT,2019-01-01,2026-09-23
BUY & HOLD,0,,0.23100521152946152,0.2520566395293884,-0.951550910316925,4.678894711767546,1.0,Crypto 1D,ADAUSDT,2019-01-01,2026-09-23
ORIGINAL,51,0.3137254901960784,-0.23115634642062288,-0.16651856889969818,-0.9258908019065273,-0.7551923728956075,0.8955012398157988,Crypto 1D,TRXUSDT,2019-01-01,2026-09-23
HYBRID,16,0.375,0.04547784623265623,0.02069978708730469,-0.5408439038345988,0.171515522072474,0.2720510095642933,Crypto 1D,TRXUSDT,2019-01-01,2026-09-23
MODEL-FLIP,26,,0.5617594773729199,0.5888831412642268,-0.6805550043642543,34.78324144456175,1.0,Crypto 1D,TRXUSDT,2019-01-01,2026-09-23
BUY & HOLD,0,,0.4515922597252648,0.4510414280281865,-0.7816718587746625,16.74896265560163,1.0,Crypto 1D,TRXUSDT,2019-01-01,2026-09-23
ORIGINAL,45,0.35555555555555557,0.47681816149891537,0.7944593499584418,-0.907078995072529,67.12833428621343,0.8904473085670963,Crypto 1D,DOGEUSDT,2019-07-05,2026-09-23
HYBRID,21,0.2857142857142857,-0.3256643864115819,-0.16747986068980425,-0.8833057344820314,-0.7337602071738427,0.4476876421531463,Crypto 1D,DOGEUSDT,2019-07-05,2026-09-23
MODEL-FLIP,34,,0.28646362485311994,0.43334830884118203,-0.9806159076529019,12.452859417254283,1.0,Crypto 1D,DOGEUSDT,2019-07-05,2026-09-23
BUY & HOLD,0,,0.3500996311143886,0.5526277198977467,-0.9233133281145804,22.958037260019193,1.0,Crypto 1D,DOGEUSDT,2019-07-05,2026-09-23
ORIGINAL,53,0.39622641509433965,0.2190332639260655,0.26892580316423054,-0.9441539745044477,4.981337242972607,0.896865889212828,Crypto 1D,ZECUSDT,2019-03-21,2026-09-23
HYBRID,28,0.35714285714285715,0.03125033571541361,0.0254545314980259,-0.9210336628054715,0.20776212598712296,0.560131195335277,Crypto 1D,ZECUSDT,2019-03-21,2026-09-23
MODEL-FLIP,52,,0.18816338417518816,0.23529092696865828,-0.9750585244474866,3.8885512229007526,1.0,Crypto 1D,ZECUSDT,2019-03-21,2026-09-23
BUY & HOLD,0,,0.3915723207712558,0.552256030203875,-0.9428142870535295,26.171926006528842,1.0,Crypto 1D,ZECUSDT,2019-03-21,2026-09-23
ORIGINAL,45,0.4222222222222222,-0.024560449278435637,-0.022269649569848893,-0.8860676588521779,-0.1423810414427099,0.9028892455858748,Crypto 1D,BCHUSDT,2019-11-28,2026-09-23
HYBRID,20,0.45,0.11400120366452912,0.06580338679766484,-0.5959957847511697,0.5443915458359161,0.4438202247191011,Crypto 1D,BCHUSDT,2019-11-28,2026-09-23
MODEL-FLIP,34,,0.1831033333703208,0.19289286505016578,-0.8524459245867317,2.329820163987894,1.0,Crypto 1D,BCHUSDT,2019-11-28,2026-09-23
BUY & HOLD,0,,0.06694926887745366,0.06660859702220545,-0.9424882553262984,0.5523664964813035,1.0,Crypto 1D,BCHUSDT,2019-11-28,2026-09-23
ORIGINAL,32,0.5,1.0559234321341162,2.180975875129806,-0.7140543203883027,1184.3306198076427,0.9351230425055929,Crypto 1D,SOLUSDT,2020-08-11,2026-09-23
HYBRID,18,0.3888888888888889,0.35128837588508555,0.2398588226090026,-0.7038240637456143,2.7247582315672028,0.40939597315436244,Crypto 1D,SOLUSDT,2020-08-11,2026-09-23
MODEL-FLIP,34,,0.42223175176283556,0.6170485250095459,-0.9047084191081786,17.907105600640868,1.0,Crypto 1D,SOLUSDT,2020-08-11,2026-09-23
BUY & HOLD,0,,0.5101577379536387,0.7871745144907083,-0.9626992725584275,33.86130059117781,1.0,Crypto 1D,SOLUSDT,2020-08-11,2026-09-23
ORIGINAL,371,0.38274932614555257,0.336193384752617,0.05772396017362147,-0.23051379912026282,1.1384672726232865,0.8526713437668646,Gold+FX,XAU_USD,2006-10-27,2020-05-14
HYBRID,246,0.3699186991869919,0.3938567772781746,0.05506580436639563,-0.2972407534913104,1.0668151274575814,0.6174671703543803,Gold+FX,XAU_USD,2006-10-27,2020-05-14
MODEL-FLIP,360,,0.3707261597391933,0.06815300643478905,-0.289822665326519,1.442395060653796,1.0,Gold+FX,XAU_USD,2006-10-27,2020-05-14
BUY & HOLD,0,,0.4372632476688791,0.0808646255583747,-0.4497269479606335,1.866840477981115,1.0,Gold+FX,XAU_USD,2006-10-27,2020-05-14
ORIGINAL,489,0.3496932515337423,-0.34798863616316367,-0.030142308429420006,-0.48930361891723984,-0.3635844472920502,0.854476701634545,Gold+FX,EUR_USD,2005-08-08,2020-05-14
HYBRID,317,0.3470031545741325,-0.14165261679678803,-0.010902037234350903,-0.3041990327007785,-0.14943544352109306,0.626616247865333,Gold+FX,EUR_USD,2005-08-08,2020-05-14
MODEL-FLIP,504,,-0.020283241151715783,-0.0019435181796640943,-0.26660147185641403,-0.02831578969127868,1.0,Gold+FX,EUR_USD,2005-08-08,2020-05-14
BUY & HOLD,0,,-0.09546488989850245,-0.009114117122605236,-0.35183079940534967,-0.12644923435150357,1.0,Gold+FX,EUR_USD,2005-08-08,2020-05-14
ORIGINAL,500,0.336,-0.49150538876769595,-0.04456967452804861,-0.5347793818548784,-0.4898613510814356,0.8481564473416174,Gold+FX,GBP_USD,2005-08-09,2020-05-14
HYBRID,347,0.3256484149855908,-0.37034199182928107,-0.028625661715365736,-0.41093879956327406,-0.3486788574945685,0.6566714198411082,Gold+FX,GBP_USD,2005-08-09,2020-05-14
MODEL-FLIP,517,,-0.2371837690882183,-0.023465559523270674,-0.3932171175883993,-0.29569177379372225,1.0,Gold+FX,GBP_USD,2005-08-09,2020-05-14
BUY & HOLD,0,,-0.2586041504487504,-0.025556460513498802,-0.4567031301794754,-0.31762894965156185,1.0,Gold+FX,GBP_USD,2005-08-09,2020-05-14
ORIGINAL,438,0.3812785388127854,0.057855537241584154,0.006832346354918473,-0.4103347968734078,0.10574515094685855,0.8523476279599642,Gold+FX,AUD_USD,2005-08-08,2020-05-14
HYBRID,311,0.36012861736334406,-0.17377725511297085,-0.01670849719109757,-0.5055367862011743,-0.2202196043294149,0.6395963870127757,Gold+FX,AUD_USD,2005-08-08,2020-05-14
MODEL-FLIP,498,,-0.21356705358624592,-0.02727988023421113,-0.5875136192700547,-0.33522992582992794,1.0,Gold+FX,AUD_USD,2005-08-08,2020-05-14
BUY & HOLD,0,,-0.09051007778029933,-0.011652357072483022,-0.4975324933567128,-0.15888583758336638,1.0,Gold+FX,AUD_USD,2005-08-08,2020-05-14
ORIGINAL,440,0.29772727272727273,-0.46857986833098636,-0.04046440281172703,-0.5677901874194713,-0.456466741942374,0.8515618628170623,Gold+FX,USD_CAD,2005-08-09,2020-05-14
HYBRID,317,0.3280757097791798,-0.029365176461643577,-0.0023503790813308445,-0.4144501898828259,-0.03413562058360431,0.706426881983525,Gold+FX,USD_CAD,2005-08-09,2020-05-14
MODEL-FLIP,520,,-0.30345914119341744,-0.02875041670522338,-0.5028674261460278,-0.34986072737101925,1.0,Gold+FX,USD_CAD,2005-08-09,2020-05-14
BUY & HOLD,0,,0.10604459218278538,0.010246154149153641,-0.2757222854681396,0.16237019943958964,1.0,Gold+FX,USD_CAD,2005-08-09,2020-05-14
ORIGINAL,458,0.3406113537117904,-0.2149341915414474,-0.023910777374173353,-0.4718842059089865,-0.30041724836192685,0.8566368078175896,Gold+FX,EUR_JPY,2005-08-09,2020-05-14
HYBRID,303,0.33663366336633666,-0.33504625316807607,-0.03036132292451721,-0.48678507461530796,-0.3656496094989513,0.5780130293159609,Gold+FX,EUR_JPY,2005-08-09,2020-05-14
MODEL-FLIP,484,,-0.281253559390056,-0.03411887348331921,-0.49974351269598716,-0.40098740452717563,1.0,Gold+FX,EUR_JPY,2005-08-09,2020-05-14
BUY & HOLD,0,,-0.10030741210214035,-0.012305462757995489,-0.4450308034820305,-0.16705381618813964,1.0,Gold+FX,EUR_JPY,2005-08-09,2020-05-14
ORIGINAL,437,0.391304347826087,-0.010403126984899166,-0.0015921106894928316,-0.6087081635084632,-0.023247758718325517,0.845210446970623,Gold+FX,AUD_JPY,2005-08-09,2020-05-14
HYBRID,272,0.3639705882352941,0.029040040597095862,0.003802091168661592,-0.5120801123042397,0.05762085120768856,0.5941001507558163,Gold+FX,AUD_JPY,2005-08-09,2020-05-14
MODEL-FLIP,448,,-0.03630100758376993,-0.006030999898280376,-0.6743501385098813,-0.08543080207507359,1.0,Gold+FX,AUD_JPY,2005-08-09,2020-05-14
BUY & HOLD,0,,-0.08954364112279785,-0.014809405215158722,-0.48003046515083947,-0.1976888058830394,1.0,Gold+FX,AUD_JPY,2005-08-09,2020-05-14
ORIGINAL,444,0.3108108108108108,-0.4055493839402265,-0.06749924676740249,-0.7113623494062664,-0.6429785496782932,0.8689989785495403,Indices,SPX500_USD,2005-08-18,2020-05-14
HYBRID,258,0.3333333333333333,-0.2789285339678779,-0.03980903468177044,-0.5743179136346958,-0.45047283462390464,0.5038729996595165,Indices,SPX500_USD,2005-08-18,2020-05-14
MODEL-FLIP,387,,-0.09743467599103862,-0.0188343379744087,-0.6855082308175664,-0.24438625384476442,1.0,Indices,SPX500_USD,2005-08-18,2020-05-14
BUY & HOLD,0,,0.2913523132525492,0.058492771984342884,-0.5756209108810265,1.3112479474548437,1.0,Indices,SPX500_USD,2005-08-18,2020-05-14
ORIGINAL,461,0.3036876355748373,-0.4277631708763533,-0.07968490973517961,-0.7606286103422125,-0.7058951719383063,0.864773984847195,Indices,NAS100_USD,2005-08-18,2020-05-14
HYBRID,304,0.3092105263157895,-0.34478907628315003,-0.055678527719198456,-0.7050682470103911,-0.5701466836654696,0.5990465650804461,Indices,NAS100_USD,2005-08-18,2020-05-14
MODEL-FLIP,403,,-0.0612261896969694,-0.013250801723661776,-0.7686646319937185,-0.17847568756379195,1.0,Indices,NAS100_USD,2005-08-18,2020-05-14
BUY & HOLD,0,,0.5428626853355552,0.1255186422449932,-0.5424728540149244,4.712527751347924,1.0,Indices,NAS100_USD,2005-08-18,2020-05-14
ORIGINAL,465,0.35053763440860214,-0.08511095107543212,-0.019321539954907374,-0.6564083265572758,-0.24989712196008784,0.861045487736781,Indices,US2000_USD,2005-08-17,2020-05-14
