n,acc,bal_acc,mcc,capture,flips_per_oracle_flip,flip_precision,entry_lag_frac,missed_move_frac,exit_giveback_frac,ls_sharpe,lf_sharpe,bh_sharpe,set,ticker,clf
1515,0.7148514851485148,0.6879132791327913,0.39517115971256933,-0.1060247345283966,3.25,0.6538461538461539,0.10723878592532904,0.34589644268667497,0.44697635632153276,-0.24298277882418812,0.1891597094910019,0.5137604145664524,B,ACAS-201701,SuperTrend (calm-tuned)
1515,0.49174917491749176,0.41672086720867213,-0.2546304352912538,-0.13408209564105333,0.75,0.8333333333333334,0.9571363429092568,0.7813813351429622,0.7640241010301848,-0.2905357239360031,0.12848399293384538,0.5137604145664524,B,ACAS-201701,Online directional-change (calm-tuned)
2529,0.7694741004349546,0.6739345784033917,0.3890521868033618,0.1443560186908396,1.3333333333333333,0.8125,0.2765936580581889,0.3446291404066809,0.43633355568926346,0.3563705599120916,0.40405816325021443,0.2706974365398131,B,FTV,MODEL calm
2529,0.7738236457097667,0.7245894409192091,0.44658534985660686,0.11331610938517558,1.2083333333333333,0.7931034482758621,0.25769859431186665,0.43307719805779843,0.42486400157037074,0.27817542445206755,0.3774387765983811,0.2706974365398131,B,FTV,Crypto model C
2529,0.7200474495848161,0.6798978451421024,0.34503186590201695,-0.0639505848696343,1.5416666666666667,0.7297297297297297,0.3952493629413906,0.5251520596019388,0.6097196363396173,-0.17702931973787275,0.07052077660634025,0.2706974365398131,B,FTV,EMA cross (calm-tuned)
2529,0.7046263345195729,0.6977922635706171,0.3641523338785361,-0.1156079645161542,2.0833333333333335,0.68,0.2126810929763433,0.345395745550855,0.4258337623388225,-0.3137171389842605,-0.033577673253581755,0.2706974365398131,B,FTV,SuperTrend (calm-tuned)
2529,0.7184657967576117,0.6273818430361975,0.2710167763695145,0.11292803542879583,1.3333333333333333,0.75,0.23299293008641006,0.3776555231951607,0.40736263051524557,0.27615978807866737,0.3641520322347274,0.2706974365398131,B,FTV,Online directional-change (calm-tuned)
3902,0.7754997437211686,0.6678287850657443,0.3739439082338552,0.2131325244815509,1.5,0.8095238095238095,0.2785953177257525,0.39756504435182694,0.3754035489378486,0.4740266768044329,0.6734559666179128,0.6864087937357961,B,PGR,MODEL calm
3902,0.7283444387493593,0.6958274625499122,0.364242019136266,-0.07823527763163035,2.0714285714285716,0.7413793103448276,0.1843220338983051,0.47277864340654935,0.49583313020934866,-0.194465031030231,0.33092479507435024,0.6864087937357961,B,PGR,Crypto model C
3902,0.7206560738083034,0.6519901319972532,0.29692712912404534,0.11055493471393804,1.6071428571428572,0.7777777777777778,0.4340579710144927,0.43940946695470057,0.48746825101412117,0.23927166985391174,0.5699036287147211,0.6864087937357961,B,PGR,EMA cross (calm-tuned)
3902,0.7450025627883137,0.7407233144281391,0.4372598093029216,-0.028752801143458448,2.607142857142857,0.6986301369863014,0.14313725490196078,0.40515281712443374,0.36976199154471806,-0.08602171604629687,0.4409006279424924,0.6864087937357961,B,PGR,SuperTrend (calm-tuned)
3902,0.7152742183495643,0.6577608789643684,0.3018936298741255,-0.07587847572133816,1.4285714285714286,0.8,0.2889595103578154,0.5546578849887851,0.572766038645597,-0.18410664348181666,0.31879124246139423,0.6864087937357961,B,PGR,Online directional-change (calm-tuned)
1802,0.7685904550499445,0.7139188069594036,0.45515019711212246,-0.09359198184782432,2.6,0.6923076923076923,0.22930693069306932,0.45815345255828394,0.4889780706370681,-0.20657442277295274,0.06611443092273762,0.30993261137270117,B,SNI-201803,MODEL calm
1802,0.732519422863485,0.7057403242987336,0.4053707636112594,-0.1512957447782471,2.8,0.6785714285714286,0.21405940594059406,0.3952768741017677,0.6049260585083316,-0.3260822049284576,-0.01115157665780917,0.30993261137270117,B,SNI-201803,Crypto model C
1802,0.7297447280799112,0.7151733933009824,0.41611765820120916,-0.0274611791811417,2.4,0.6666666666666666,0.12338494487746648,0.2797915448802675,0.5237349906841479,-0.06985392575480835,0.17550387233335168,0.30993261137270117,B,SNI-201803,EMA cross (calm-tuned)
1802,0.6403995560488346,0.6454965084625399,0.27434721830989434,-0.27348576816652764,3.8,0.631578947368421,0.15947368421052632,0.3720545667979272,0.4922591862497904,-0.5825558107318668,-0.2046636539839159,0.30993261137270117,B,SNI-201803,SuperTrend (calm-tuned)
