asset,alpha,t,alpha_bh,t_bh,group
EWU,-0.00015399621250444643,-1.6941014671958035,-9.168432499360776e-05,-0.9199062803005573,Stocks all (1D)
EWY,-0.0002880470501170397,-2.6001166620504366,-0.0002882348731411399,-2.3432675789079322,Stocks all (1D)
EWZ,-7.781787220404256e-05,-0.5178113861452993,-8.652835894466186e-05,-0.5618323814916224,Stocks all (1D)
EXC,9.209603725067036e-05,0.7571617379875053,0.0001104400027314931,0.909026221631793,Stocks all (1D)
EXI,-0.00018160189618678514,-1.7849150966159064,-0.0001733711580473135,-1.6031140140083926,Stocks all (1D)
EXPD,-0.0001600806666400616,-1.3368596328611997,-7.279964904649512e-05,-0.6094621830161309,Stocks all (1D)
EXPE,-0.00043778621049302737,-2.3163625895212676,-0.0004402252249943898,-2.2730027815224703,Stocks all (1D)
EXR,2.6969311226317167e-06,0.018613255421237,3.861032441963088e-05,0.26707348119320495,Stocks all (1D)
F,-0.0003378152903792498,-1.6863308428504724,-0.00032220559013612844,-1.5160675691781835,Stocks all (1D)
FANG,-0.00038283195184435863,-1.7608379736021678,-0.0003300507775762171,-1.510396397515449,Stocks all (1D)
FAST,-0.00013404710590406084,-1.1490557081413928,-6.0078868038423716e-05,-0.5184396907827583,Stocks all (1D)
FBIN,1.9159845812647606e-05,0.13948193799242606,1.9728901635805573e-05,0.1275620765017663,Stocks all (1D)
FCPT,-5.348164817628521e-06,-0.02186260835222192,-0.0001210953987326655,-0.533297308795938,Stocks all (1D)
FCX,8.487536981372203e-05,0.34826662266001035,9.151465605365275e-05,0.361587761005964,Stocks all (1D)
FDO-201507,0.0003008455779358879,1.078623515836794,0.000492616620552736,1.6041293495944442,Stocks all (1D)
FDS,0.00024164217071326834,1.6184616127317275,0.00021571181400142447,1.4253957221003337,Stocks all (1D)
FDX,-0.00028822829629107367,-1.9297614707973767,-0.00029215190634211317,-1.9369306681117504,Stocks all (1D)
FE,4.006552296284155e-05,0.4154746227486377,2.7360570632731065e-05,0.24900912010973383,Stocks all (1D)
FERG,-4.227876432810393e-05,-0.35710223526248486,-9.864648659014699e-05,-0.7026820082154858,Stocks all (1D)
FFIV,-2.499046825316272e-05,-0.1396557527148565,-2.8966606536929504e-05,-0.15164661764031864,Stocks all (1D)
FHN,-6.410974587653779e-05,-0.4010837128924521,-3.9899066950678026e-05,-0.2328136597866321,Stocks all (1D)
FICO,7.484838126921344e-05,0.4208747476915344,0.00010179180835621687,0.5146238323060279,Stocks all (1D)
FII,-0.00017365166019056021,-1.0999018948695078,-0.0001549185686236817,-0.957793794082956,Stocks all (1D)
FIS,-4.389699846270534e-05,-0.30858588210927884,-3.393791393146998e-05,-0.22877269118818855,Stocks all (1D)
FISV,1.3097874017815045e-05,0.10321220229196364,-2.8050539682140158e-05,-0.21180081352773464,Stocks all (1D)
FITB,-0.00040029617799132526,-2.5239036280403293,-0.00043283180200530316,-2.310355997590699,Stocks all (1D)
FIX,5.6469531736962415e-05,0.34832575865049475,6.215392411386326e-05,0.35212352836771865,Stocks all (1D)
FL,3.955494327280982e-06,0.01881100504391289,4.997911910177337e-05,0.2115706339045525,Stocks all (1D)
FLEX,-0.00017230783435798457,-0.7963812584375862,-0.00016214529205577267,-0.7342219505891283,Stocks all (1D)
FLIR,-0.0001703586988103595,-0.7807389330383719,-0.00015441984856219218,-0.647625727028589,Stocks all (1D)
FLR,-0.00017596133442450123,-0.7402433356086467,-8.588875746046093e-05,-0.383451354652615,Stocks all (1D)
FLS,-0.00042343085872314986,-2.5241358308328636,-0.00036688979177630713,-2.1802185544712858,Stocks all (1D)
FMC,-9.75572976624113e-05,-0.5602570953640004,3.0744089650359635e-05,0.16049688918015875,Stocks all (1D)
FMCC,8.066819820969357e-05,0.1977573965095621,4.109838881588446e-05,0.0999759308000302,Stocks all (1D)
FNMA,0.0002603417641346802,0.6416189318712584,0.0002184114765998048,0.5372082741887989,Stocks all (1D)
FOSL,5.073466346892137e-06,0.014126873421485763,9.354071340834293e-05,0.260289918154113,Stocks all (1D)
FOX,-0.00037585119196669614,-1.9144779594826207,-0.00033295624679263535,-1.5908753211506246,Stocks all (1D)
FOXA,-0.00030313229475892095,-1.45198714328585,-0.00027361863324607797,-1.2592179798049643,Stocks all (1D)
FRT,-0.00011085027098262143,-0.7282677264606893,-6.934806328951072e-05,-0.4719385236920281,Stocks all (1D)
FRX-201406,-0.00037088740578774995,-1.3139280001054268,-0.00026735127983259756,-0.8549731662655143,Stocks all (1D)
FSLR,-0.0005835369923127598,-2.6770397824784133,-0.0006794819163671266,-2.9526694515706535,Stocks all (1D)
FTI,-7.452495075146713e-05,-0.360781320174413,-6.130763210382492e-05,-0.2752640907562701,Stocks all (1D)
FTNT,-0.00021167253284381333,-1.1695868098453275,-0.00020892898233615832,-1.0959514323152506,Stocks all (1D)
FTV,-0.00017876007791073903,-1.1505062344173356,-0.00013417787335482962,-0.8625748787967698,Stocks all (1D)
FVC,-0.00011712095534715131,-1.4998207011576612,-0.00011377986435764462,-1.3567546754693545,Stocks all (1D)
FWLT-201412,-0.0006903532025702036,-1.7360990746071991,-0.0009518295665114585,-2.084202234072108,Stocks all (1D)
GAS-201606,-0.0002002827500098526,-1.2641488852493639,-6.640710932199861e-05,-0.4444408773823426,Stocks all (1D)
GD,-0.00011431672945241958,-1.2032599961755162,-6.525288200064323e-05,-0.6156042787672559,Stocks all (1D)
GDDY,0.00033006652443547157,1.7058701200365751,0.0003193972019365669,1.551026542671602,Stocks all (1D)
GE,0.000175340491116376,1.0253530192272877,0.00015585462725238998,0.795211346071431,Stocks all (1D)
GEN,-0.0002891872897662544,-1.6951306120361493,-0.00026012739371419853,-1.4229707562717369,Stocks all (1D)
GGP-201808,-2.7718085290030665e-05,-0.1215380226211094,4.135887890332625e-05,0.18322257177190063,Stocks all (1D)
GHC,-0.00013324498007415717,-0.9648829227590403,-8.543370703042002e-05,-0.5680060531491992,Stocks all (1D)
GILD,-4.7035670041258703e-07,-0.0034285794822113435,5.946655246703143e-05,0.4382082538874134,Stocks all (1D)
GIS,6.266893585684752e-05,0.5587703053350983,0.00012374584744697924,1.1011245031713401,Stocks all (1D)
GL,-0.0002539165610342805,-1.9609382921542962,-0.00028998026030034336,-1.8658982908470227,Stocks all (1D)
GLD,-1.4153552851748944e-05,-0.17430604347450754,-2.1915020346785193e-05,-0.2592058361963966,Stocks all (1D)
GLW,7.208301049606454e-05,0.39764599848794036,2.7182419709575198e-05,0.1483683477773844,Stocks all (1D)
GM,-0.00018990927440190486,-1.254705629573848,-0.00021090113219810703,-1.351838958675789,Stocks all (1D)
GMCR-201603,-0.00028327518781880704,-0.8770871433319605,-0.0006184302294832454,-1.5962631302512706,Stocks all (1D)
GME,-0.000428780810821618,-1.12800198346936,-0.00046403028562636277,-1.0619057772418687,Stocks all (1D)
GNRC,3.238076269445267e-05,0.16989307636754528,-4.100973374568852e-06,-0.021219483698326196,Stocks all (1D)
GNW,-7.314785365235079e-05,-0.3356586550291423,-8.408834208655803e-05,-0.3903086411794842,Stocks all (1D)
GOOG,-0.00033527407098875235,-2.6690485733630176,-0.0003276074321493072,-2.4997534761671054,Stocks all (1D)
GOOGL,-0.0003057020415058394,-2.391441983647295,-0.0002959231178635626,-2.2263367838885837,Stocks all (1D)
GPC,8.485938614715055e-05,0.7134917025350875,0.00014876637738965711,1.2574314834071063,Stocks all (1D)
GPN,-9.671405747512765e-05,-0.6939985752285325,-8.30269512694372e-05,-0.5818210049803282,Stocks all (1D)
GRA,-0.0002865692365273837,-1.438835665112131,-0.00022987177990803687,-1.1564441440192372,Stocks all (1D)
GRMN,-0.00011130870626328678,-0.6516845438994228,-0.00011341155001913209,-0.6594844801598424,Stocks all (1D)
GS,-0.0002704469354437028,-1.8854820783525408,-0.00033722831387609267,-1.9774425203960397,Stocks all (1D)
GT,-0.0004115398173327827,-1.612565061305133,-0.00030352160498459395,-1.1715172103364908,Stocks all (1D)
GWW,-6.317728050494358e-05,-0.6010524369443907,-5.5992068339130973e-05,-0.4953739594467998,Stocks all (1D)
HAL,5.212789475622278e-05,0.2508304075122481,-3.35169586886397e-05,-0.16402951219355966,Stocks all (1D)
HAS,-0.0001848109958124168,-1.247022096909153,-0.000140108658173637,-0.9028817979532074,Stocks all (1D)
HBAN,-0.0003970147888615854,-2.5867902115682972,-0.0003464483366886351,-1.9955839411160252,Stocks all (1D)
HBI,1.692334123568182e-05,0.08561828156145267,3.3260397602634232e-06,0.01733662954241708,Stocks all (1D)
HCA,1.0377939504898467e-05,0.05868135452105458,1.7213410758764745e-06,0.010221074308771578,Stocks all (1D)
HCBK-201510,-0.0001453709734188664,-0.7037037965382231,-1.9687665202351376e-05,-0.09229284013689462,Stocks all (1D)
HD,-6.688002844052813e-05,-0.5342426323182494,-9.129261557656878e-05,-0.6397989975642168,Stocks all (1D)
HES,-0.00031280194888554157,-1.7115170463685536,-0.0003183269463023368,-1.639128430745118,Stocks all (1D)
HIG,-0.00018836831797840563,-1.287442811330159,-0.0002319457033056829,-1.2852098195851471,Stocks all (1D)
HII,2.2001230246434035e-05,0.1971794802221768,-3.5599443833957667e-05,-0.28653333770175565,Stocks all (1D)
HLT,6.697619275572667e-05,0.3804869977565769,3.259893383881978e-05,0.1857525591381017,Stocks all (1D)
HOG,-0.0003266806770121096,-2.095996833119846,-0.00023657135122473165,-1.4561725140630513,Stocks all (1D)
HOLX,-0.0002211884745808302,-1.3992678876752207,-0.0001349217637181978,-0.8191809648017764,Stocks all (1D)
HON,-0.00028681739634844547,-2.565613159759197,-0.0002346699127704478,-1.9715260395713075,Stocks all (1D)
HP,-0.00026099903173172926,-1.266255976409896,-0.00031831423401456666,-1.4464975082914213,Stocks all (1D)
HPE,-0.00023314840620412646,-1.051525276726105,-0.0002492542337849733,-1.1687261515747143,Stocks all (1D)
HPQ,1.5937218773715134e-05,0.08498799202899847,-2.301354750285444e-05,-0.1151558715511931,Stocks all (1D)
HRB,2.3854665697597323e-05,0.13955007502215547,-2.602449886482949e-05,-0.14586801827641033,Stocks all (1D)
