label,year,features,auc,n_test,base
ret,2026,4h derivatives,0.4911324842783913,933,0.31939978563772775
ret,2026,4h cross-market,0.473445014004122,933,0.31939978563772775
ret,2026,event context,0.5120118374464937,933,0.31939978563772775
oracle,2022,ALL features,0.5379944617774938,1274,0.5643642072213501
oracle,2022,"ALL, shuffled training labels (null)",0.4738212482301495,1274,0.5643642072213501
oracle,2022,1h price+MTF,0.5334110188074026,1274,0.5643642072213501
oracle,2022,1h flow,0.5201744164192008,1274,0.5643642072213501
oracle,2022,4h price,0.5128143442468894,1274,0.5643642072213501
oracle,2022,4h flow,0.5344785675800975,1274,0.5643642072213501
oracle,2022,4h derivatives,0.4995627059604807,1274,0.5643642072213501
oracle,2022,4h cross-market,0.49383152276059095,1274,0.5643642072213501
oracle,2022,event context,0.5509554060319011,1274,0.5643642072213501
oracle,2023,ALL features,0.5433012655748941,1299,0.5889145496535797
oracle,2023,"ALL, shuffled training labels (null)",0.5351815133044477,1299,0.5889145496535797
oracle,2023,1h price+MTF,0.5696262025409414,1299,0.5889145496535797
oracle,2023,1h flow,0.541418814716898,1299,0.5889145496535797
oracle,2023,4h price,0.5506425791290298,1299,0.5889145496535797
oracle,2023,4h flow,0.5327433844948717,1299,0.5889145496535797
oracle,2023,4h derivatives,0.5448483513255489,1299,0.5889145496535797
oracle,2023,4h cross-market,0.5010183349244817,1299,0.5889145496535797
oracle,2023,event context,0.5158551810237204,1299,0.5889145496535797
oracle,2024,ALL features,0.5424418604651162,1328,0.6475903614457831
oracle,2024,"ALL, shuffled training labels (null)",0.5282299741602068,1328,0.6475903614457831
oracle,2024,1h price+MTF,0.5110887497515404,1328,0.6475903614457831
oracle,2024,1h flow,0.478292089047903,1328,0.6475903614457831
oracle,2024,4h price,0.4973116676605049,1328,0.6475903614457831
oracle,2024,4h flow,0.5035827867223216,1328,0.6475903614457831
oracle,2024,4h derivatives,0.496640826873385,1328,0.6475903614457831
oracle,2024,4h cross-market,0.5479377857284834,1328,0.6475903614457831
oracle,2024,event context,0.5415399522957662,1328,0.6475903614457831
oracle,2025,ALL features,0.5482632310218516,1416,0.614406779661017
oracle,2025,"ALL, shuffled training labels (null)",0.5108416487726832,1416,0.614406779661017
oracle,2025,1h price+MTF,0.5434192244537072,1416,0.614406779661017
oracle,2025,1h flow,0.48570797019072876,1416,0.614406779661017
oracle,2025,4h price,0.5212054229295608,1416,0.614406779661017
oracle,2025,4h flow,0.5048608479642962,1416,0.614406779661017
oracle,2025,4h derivatives,0.476984126984127,1416,0.614406779661017
oracle,2025,4h cross-market,0.5241242474001095,1416,0.614406779661017
oracle,2025,event context,0.4939813060502716,1416,0.614406779661017
oracle,2026,ALL features,0.5065332298366231,933,0.5369774919614148
oracle,2026,"ALL, shuffled training labels (null)",0.4966224957492423,933,0.5369774919614148
oracle,2026,1h price+MTF,0.5540031049013084,933,0.5369774919614148
oracle,2026,1h flow,0.498507614400828,933,0.5369774919614148
oracle,2026,4h price,0.5381274488060915,933,0.5369774919614148
oracle,2026,4h flow,0.5351935018851187,933,0.5369774919614148
oracle,2026,4h derivatives,0.4506681082279884,933,0.5369774919614148
oracle,2026,4h cross-market,0.5096750942559326,933,0.5369774919614148
oracle,2026,event context,0.5676424927921935,933,0.5369774919614148
