cand,label,cfg,split,fpt,miss,delay
"B1w|('C', 0, 0.1, 1)",B1w,"('C', 0, 0.1, 1)",0,1.3,0.4126848210345237,12.0
"B1w|('C', 0, 0.1, 2)",B1w,"('C', 0, 0.1, 2)",0,0.6,0.47892902515179175,14.0
"B1w|('C', 0, 0.1, 4)",B1w,"('C', 0, 0.1, 4)",0,0.16666666666666666,0.5,14.0
"B1w|('C', 0, 0.1, 8)",B1w,"('C', 0, 0.1, 8)",0,0.0,0.5,14.5
"B1w|('C', 0, 0.2, 0.5)",B1w,"('C', 0, 0.2, 0.5)",0,1.0,0.4151806667511153,12.5
"B1w|('C', 0, 0.2, 1)",B1w,"('C', 0, 0.2, 1)",0,0.4,0.5,14.0
"B1w|('C', 0, 0.2, 2)",B1w,"('C', 0, 0.2, 2)",0,0.0,0.5,14.0
"B1w|('C', 0, 0.2, 4)",B1w,"('C', 0, 0.2, 4)",0,0.0,0.5,14.5
"B1w|('C', 0, 0.2, 8)",B1w,"('C', 0, 0.2, 8)",0,0.0,0.5,15.5
"B1w|('C', 0, 0.3, 0.5)",B1w,"('C', 0, 0.3, 0.5)",0,0.0,0.5,13.0
"B1w|('C', 0, 0.3, 1)",B1w,"('C', 0, 0.3, 1)",0,0.0,0.5,14.0
"B1w|('C', 0, 0.3, 2)",B1w,"('C', 0, 0.3, 2)",0,0.0,0.5,14.0
"B1w|('C', 0, 0.3, 4)",B1w,"('C', 0, 0.3, 4)",0,0.0,0.5,15.5
"B1w|('C', 0, 0.3, 8)",B1w,"('C', 0, 0.3, 8)",0,0.0,0.5,18.0
"T1|('H', 1, 0.1, -0.1)",T1,"('H', 1, 0.1, -0.1)",0,3.6666666666666665,0.3686983077347959,9.0
"T1|('H', 1, 0.1, 0.0)",T1,"('H', 1, 0.1, 0.0)",0,7.6,0.3686983077347959,9.0
"T1|('H', 1, 0.1, 0.05)",T1,"('H', 1, 0.1, 0.05)",0,9.8,0.3686983077347959,9.0
"T1|('H', 1, 0.2, -0.2)",T1,"('H', 1, 0.2, -0.2)",0,2.6,0.3908607102786308,11.0
"T1|('H', 1, 0.2, 0.0)",T1,"('H', 1, 0.2, 0.0)",0,7.0,0.3908607102786308,11.5
"T1|('H', 1, 0.2, 0.1)",T1,"('H', 1, 0.2, 0.1)",0,9.666666666666666,0.39257059956350754,11.5
"T1|('H', 1, 0.3, -0.3)",T1,"('H', 1, 0.3, -0.3)",0,2.0,0.4385165200347885,13.5
"T1|('H', 1, 0.3, 0.0)",T1,"('H', 1, 0.3, 0.0)",0,6.0,0.44036379046571894,13.5
"T1|('H', 1, 0.3, 0.15)",T1,"('H', 1, 0.3, 0.15)",0,8.8,0.44281416772727694,13.5
"T1|('H', 1, 0.4, -0.4)",T1,"('H', 1, 0.4, -0.4)",0,1.5,0.46893569421241876,17.5
"T1|('H', 1, 0.4, 0.0)",T1,"('H', 1, 0.4, 0.0)",0,4.833333333333333,0.47892902515179175,19.0
"T1|('H', 1, 0.4, 0.2)",T1,"('H', 1, 0.4, 0.2)",0,7.285714285714286,0.48090476398336146,19.0
"T1|('H', 1, 0.5, -0.5)",T1,"('H', 1, 0.5, -0.5)",0,1.0,0.5292580964370475,22.0
"T1|('H', 1, 0.5, 0.0)",T1,"('H', 1, 0.5, 0.0)",0,4.0,0.5365631488251085,23.5
"T1|('H', 1, 0.5, 0.25)",T1,"('H', 1, 0.5, 0.25)",0,6.5,0.5365631488251085,23.5
"T1|('H', 3, 0.1, -0.1)",T1,"('H', 3, 0.1, -0.1)",0,2.142857142857143,0.4038621042842155,13.0
"T1|('H', 3, 0.1, 0.0)",T1,"('H', 3, 0.1, 0.0)",0,4.714285714285714,0.4059706645827063,13.0
"T1|('H', 3, 0.1, 0.05)",T1,"('H', 3, 0.1, 0.05)",0,5.857142857142857,0.4059706645827063,13.0
"T1|('H', 3, 0.2, -0.2)",T1,"('H', 3, 0.2, -0.2)",0,1.6666666666666667,0.42711052873206695,15.0
"T1|('H', 3, 0.2, 0.0)",T1,"('H', 3, 0.2, 0.0)",0,4.4,0.4313348156074742,15.0
"T1|('H', 3, 0.2, 0.1)",T1,"('H', 3, 0.2, 0.1)",0,5.333333333333333,0.4313348156074742,15.0
"T1|('H', 3, 0.3, -0.3)",T1,"('H', 3, 0.3, -0.3)",0,1.3333333333333333,0.4845262240199322,17.5
"T1|('H', 3, 0.3, 0.0)",T1,"('H', 3, 0.3, 0.0)",0,3.7142857142857144,0.4999235110611506,19.0
"T1|('H', 3, 0.3, 0.15)",T1,"('H', 3, 0.3, 0.15)",0,4.666666666666667,0.4999235110611506,19.0
"T1|('H', 3, 0.4, -0.4)",T1,"('H', 3, 0.4, -0.4)",0,1.0,0.52933389851745,21.5
"T1|('H', 3, 0.4, 0.0)",T1,"('H', 3, 0.4, 0.0)",0,3.142857142857143,0.5571198754584612,24.0
"T1|('H', 3, 0.4, 0.2)",T1,"('H', 3, 0.4, 0.2)",0,4.166666666666667,0.5579176423060022,24.0
"T1|('H', 3, 0.5, -0.5)",T1,"('H', 3, 0.5, -0.5)",0,0.6666666666666666,0.5693229140926884,23.5
"T1|('H', 3, 0.5, 0.0)",T1,"('H', 3, 0.5, 0.0)",0,2.5,0.662744911000962,28.5
"T1|('H', 3, 0.5, 0.25)",T1,"('H', 3, 0.5, 0.25)",0,3.375,0.662744911000962,29.0
"T1|('H', 5, 0.1, -0.1)",T1,"('H', 5, 0.1, -0.1)",0,1.8,0.4101409935226378,14.0
"T1|('H', 5, 0.1, 0.0)",T1,"('H', 5, 0.1, 0.0)",0,4.166666666666667,0.42036719929403366,14.5
"T1|('H', 5, 0.1, 0.05)",T1,"('H', 5, 0.1, 0.05)",0,4.666666666666667,0.42711052873206695,14.5
